Designator,Mid X,Mid Y,Rotation,Layer
C1,122.9,-96.55,90.0,top
C2,134.4,-100.114702,90.0,top
C3,133.9,-91.05,90.0,top
C4,112.9,-84.55,90.0,top
C5,123.9,-70.55,90.0,top
C6,181.85,-107.31,0.0,top
C7,181.35,-112.31,0.0,top
D1,147.4,-84.05,90.0,top
J1,203.0,-101.27,0.0,top
J2,142.67,-107.55,90.0,top
J3,104.63,-80.05,90.0,top
J4,116.0,-108.0,90.0,top
L1,142.4,-94.045,270.0,top
Q1,188.85,-101.77,90.0,top
R1,151.9,-83.55,90.0,top
R2,149.4,-64.55,90.0,top
R3,141.9,-73.55,90.0,top
R4,127.55,-77.55,180.0,top
R5,113.75,-64.05,180.0,top
R6,189.85,-89.31,0.0,top
R7,199.0,-112.5,90.0,top
TP1,193.85,-68.26,0.0,top
TP2,193.85,-72.31,0.0,top
TP3,193.85,-76.36,0.0,top
U1,150.4,-97.55,180.0,top
U2,113.4,-72.05,90.0,top
U3,189.85,-113.0,0.0,top
