Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,1n,
C2,CP_Radial_D6.3mm_P2.50mm,1,100u,
C3,CP_Radial_D10.0mm_P5.00mm,1,1000u,
"C4, C6",CP_Radial_D5.0mm_P2.00mm,2,10u,
C5,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,10n,
C7,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.1u,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
J1,PinHeader_1x02_P2.54mm_Vertical,1,COIL,
J2,PinHeader_1x02_P2.54mm_Vertical,1,BAT,
J3,PinHeader_1x02_P2.54mm_Vertical,1,BTN,
J4,PinHeader_1x01_P2.54mm_Vertical,1,FOIL_GND,
L1,L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC,1,100u,
Q1,TO-220-3_Vertical,1,IRF540N,
R1,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,0.22,
R2,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,10k,
R3,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,2.2k,
"R4, R5",R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,2,100k,
R6,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,1k,
R7,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,1,10,
"TP1, TP2, TP3",TestPoint_Pad_D2.0mm,3,TestPoint,
U1,DIP-8_W7.62mm,1,MC34063AP,
U2,DIP-8_W7.62mm,1,NE555P,
U3,DIP-8_W7.62mm,1,TC4420CPA,
